,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1988,VIRGINIA,"OYSTER, EASTERN","2,927,000","1,328","7,734,980",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1987,MARYLAND,"OYSTER, EASTERN","3,822,000","1,734","11,817,109",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1987,MISSISSIPPI,"OYSTER, EASTERN","132,103",60,"426,723",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1987,VIRGINIA,"OYSTER, EASTERN","4,825,600","2,189","11,837,160",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1986,MARYLAND,"OYSTER, EASTERN","7,961,800","3,611","18,264,794",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1986,MISSISSIPPI,"OYSTER, EASTERN","1,202,015",545,"1,799,882",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1986,VIRGINIA,"OYSTER, EASTERN","5,780,239","2,622","10,857,814",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1985,MARYLAND,"OYSTER, EASTERN","8,597,800","3,900","15,572,626",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1985,MISSISSIPPI,"OYSTER, EASTERN","1,192,650",541,"1,499,004",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1985,VIRGINIA,"OYSTER, EASTERN","4,523,718","2,052","7,224,272",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1984,MARYLAND,"OYSTER, EASTERN","8,042,500","3,648","18,850,196",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1984,MISSISSIPPI,"OYSTER, EASTERN","1,378,202",625,"1,733,819",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1984,VIRGINIA,"OYSTER, EASTERN","4,321,500","1,960","7,350,928",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1983,MARYLAND,"OYSTER, EASTERN","7,445,400","3,377","13,951,428",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1983,MISSISSIPPI,"OYSTER, EASTERN","3,333,010","1,512","3,600,967",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1983,VIRGINIA,"OYSTER, EASTERN","4,192,100","1,902","5,882,175",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1982,MARYLAND,"OYSTER, EASTERN","12,275,300","5,568","18,320,171",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1982,MISSISSIPPI,"OYSTER, EASTERN","2,575,970","1,168","2,237,683",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1982,VIRGINIA,"OYSTER, EASTERN","5,249,400","2,381","7,448,155",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1981,MARYLAND,"OYSTER, EASTERN","15,721,600","7,131","21,701,605",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
