,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1954,MISSISSIPPI,"OYSTER, EASTERN","976,500",443,"199,455",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1954,VIRGINIA,"OYSTER, EASTERN","21,224,600","9,627","9,840,750",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1953,MARYLAND,"OYSTER, EASTERN","17,433,900","7,908","7,074,450",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1953,MISSISSIPPI,"OYSTER, EASTERN","317,700",144,"77,107",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1953,VIRGINIA,"OYSTER, EASTERN","19,511,000","8,850","7,652,215",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1952,MARYLAND,"OYSTER, EASTERN","16,287,600","7,388","7,165,000",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1952,MISSISSIPPI,"OYSTER, EASTERN","23,100",10,"8,638",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1952,VIRGINIA,"OYSTER, EASTERN","18,130,000","8,224","7,711,975",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1951,MARYLAND,"OYSTER, EASTERN","14,521,900","6,587","6,692,360",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1951,MISSISSIPPI,"OYSTER, EASTERN","27,600",13,"10,515",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1951,VIRGINIA,"OYSTER, EASTERN","15,076,300","6,839","5,276,511",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1950,MARYLAND,"OYSTER, EASTERN","14,406,000","6,535","5,520,892",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1950,MISSISSIPPI,"OYSTER, EASTERN","507,800",230,"195,370",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1950,VIRGINIA,"OYSTER, EASTERN","15,547,500","7,052","5,573,880",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
